ÿColumn1,id,text,emotion
41,40265268,A9EDJ' CD 'DHB* F-F' (9D'B) E9 E9 J'A' CF'.,Neutral
42,40265269,# 9DI E3*HI F4#*C (J'A' 'H CJA **0C1 J'A' H'DD/ HB* J9FJ HB* 7AHD*C HF4#*C (%J4 C'FH' (*4'(GH H(%J4 C'FH' (J.*DAH',Neutral
43,40265270,4HA 92J2J 'DD/ H'D1ED) HJ'A',Neutral
44,40265271,E1BH' FA3 *,1() 'DFC() 9EDJ'.,Neutral
45,40265272,"#F' DE' 1(J* AJGE,",Neutral
46,40265273,C'FH' %JG E/F %DDJ *-HD* %DI E/F E.*D7) (#:D(J) JGH/J).,Neutral
47,40265274,G0' C'F 4J! E4*1C (JF 'D*D'* E/F HE' 2''D,Neutral
48,40265275,%JG 'DH69 'D'B*5'/J H'D',*E'9J DDAD37JFJJF AJ G'J 'DE/F C'F 59( ,/',Sad
49,40265276,"#F' -*I J9FJ #BDDC 'D51'-) J9FJ 7(9' 'DH'-/ E9 'DH9J 'D3J'3J HC0' (J5J1 J4HAH' 'D#EH1 (4CD J.*DA #F' DE' '*1(J* AJ AJ G0G 'D(J&) #.J #-E/ CF* #AC1 %FG CD /HD) %31'&JD /HD) ABJ1).",Sad
50,40265277,H%FG E+D' E' AJ (FI *-*J) H H'DE,'DJ AJ 'D4'19 HC0' CF* #AC1 %FG G0' %4J 9'/J -BJB).,Surprise
51,40265278,"#F' E' CF* E/1C,",Surprise
52,40265280,"(JF 'D91( H'DJGH/ AJ /HD) %31'&JD #F' '*1(J* AJ G0G 'D(J&) HCF* #AC1 %FG #:D( 'D/HD) (*4(GG' 9DI %31'&JD J9FJ J9FJ DDD/ H'D1ED) HJ'A' J9FJ (/G' *CHF B1J() EF G0G 'DE-D'* #F' E' CF* 4'JA E+D' 'DAH'1B D9F/ E' C(1* 7(9' H1-* 9 'D,'E9) HCF* AJ 4E'D E/JF) *D #(J( HC0' HDCF AJ 'D(J&) %DDJ #F' '*1(J* AJG',",Surprise
53,40265281,%JG E' CF* 4'JA -BJB) B/J4 'DH69 59(.,Sad
54,40265282,E3*HI 'D9FA #J'EG' C'F 3'EJ #C+1 #H #BD EF 'DJHE,Neutral
55,40265283,"9FA C'F AJ H%,1'E C'F AJG HDCF (E3*HI J.*DA *E'E' 9F 'DH69 %DDJ F-F EH,H/JF AJG 'DJHE %J C'F AJ FH9 EF J9FJ 9D'B'* %DDJ %DDJ (*-EJ 'DE,*E9 %DDJ 9EDJ' GJ 9D'B'* ,J1) HGHJ) #GD 'D-J %FG 'DF'3 (J4(GH' (96 AGE CE'F (J-EH' (96 HGE ,J1'F (96 HE' (J*9/H 9DI (96.",Happy
56,40265284,HC'F AJ CE'F 'D,JD 'DDJ,Neutral
57,40265285,"1(J'F B(D BJ'E /HD) %31'&JD, 9F/G #.D'BG H*B'DJ/G",Neutral
58,40265287,%-F' %DDJ 5'1 E9'F' 92J2J #-E/ (G0' 'DEH6H9 *(9 'FAD'* 'D9FA H'D%,1'E 'DEF8E.,Neutral
59,40265288,%FG 9EDJ' %31'&JD :J(* 'D(FJ) 'D*BDJ/J) 'D',*E'9J) DE,*E9F'.,Sad
60,40265289,HE' /.D* EC'FG' 'D/HD) 'D-/J+) (EH,( E(/# 3J'/) 'DB'FHF.,Sad
61,40265290,A9EDJ' *#C/F' EF :J1 'D-E'J) 'DB/JE) HEF :J1 -E'J) 'D/HD).,Sad
62,40265291,"A' A 5'1 -'D) 'D'FAD'*. (3 DE' #F' E+D' *1(J*, #F' E' C'F 9F/J E1) E+D' D9F/J D9F/ 'D3FH'* 'D#.J1) J' #.J #-E/,",Anger
63,40265292,('D1:E EF %FJ *1(J* AJ EC'F 59( HD' E1) C'F 9F/J 4C ('DF3() D#EFJ 'D4.5J.,Happy
64,40265293,HD' E1) CF* 4'91,Sad
65,40265294,%FG #F' EECF -/' J#0JFJ E+D' #H C0' HD' E1).,Happy
66,40265296,#DA 'D(D/ CDJ*G' J9FJ E4J 9'/J HEF -J D-J. %J E' CF* #4HA %FG AJ %4J .7J1 E+D' 2J E' #F' 'DJHE (.'A 9DI '(FJ.,Fear
67,40265297,G0' E' C'F 9F/J.,Neutral
68,40265298,J.DJDC %J'G %F* 9F/C 9F/C F',J H H3EI 5-,Happy
69,40265299,'DDG J39/C #F' #F' 9F/J F',J 'D9DJ,Happy
70,40265300,GH GJC %3EG ('DGHJ) (3 E1C( 9DI '3E 'D9DJ.,Neutral
71,40265302,'(FJ 'DC(J1 9E1G 16,Neutral
72,40265303,H9F/J 3E' 'DEDC) %3EG' 3E' 7(9' 3E' 9E1G' 13,Happy
73,40265304,"J.DJDC %J'GE. #F' 3'EJ DE' CF* (3#D GJC (,1( #3#D J9FJ '(-(4 9DI AJ 'DE3'-'* 'D.'5) *(9*C 'DCD C'F (J4J1 D J9FJ 9D'B) C+J1 EEJ2) HC+J1 .'5) (JFC H(JF #31*C (JFC H(JF 9JD*C.",Happy
74,40265305,""G H HJECF GJC C'FH' -*I AJ EB'1F'* (*5J1 %FG 9DI E3*HI 'DF'3 %DDJ (*4*:D ('D9ED 'D3J'3J #H *4*:D ('D9ED 'D9'E *F4:D (96G' (JF4:D 9F #31*G #H 9JD*G #H (JCHF E4:HD (3 %F* J9FJ ('FJ HE-'A8 9D'B) .'5) ,/' J9FJ -*I 'D*#CJ/ 9DJG' /'&E' C'F ('DA*F).",Happy
75,40265307,(*91A E9 'DHB* 'DH'-/ (J5J1 J3#D -'DG (4CD /'&E J9FJ 4H 4H GJ 'D#4J'! 'DEGE) %DDJ (*9FJDG (-J'*G %DDJ (*97J DG E9FI.,Surprise
76,40265308,H'D#31) 'D51'-) GJ J9FJ,Happy
77,40265309,E13'G #3'3J) (-J'*G DDA1/.,Happy
78,40265310,H#F' 39J/ ,/' (#31*J HA.H1 AJG'.,Happy
79,40265311,HGFJ CE'F 'D51'-) (J/A9H' +EF C+J1 9'DJ E9'G J9FJ GH ('D#.1 H'-/ J6D J7D9 9DI 'DBJ'/'* J9FJ (4CD %DDJ GH,Sad
80,40265312,*91A C#FG 92J2J %-F' 2JF' 2J (BJ) 'D(41.,Neutral
81,40265313,H#GDF' 9'/) (J/A9H' 'D+EF 'D#C(1.,Sad
82,40265314,D D'FA1'BF' AJ 'D9ED 'D3J'3J H'D',*E'9J,Sad
83,40265316,A9EDJ' C+J1 E1'* GH J671 %FG J(9/ 9FGE #C+1 #H E' J4HAGE. #F' (-'HD (-'HD B/1 'D%EC'F,Sad
84,40265317,%FJ E' '/A9 E' '/A9GE4 CD 'D+EF DDF4'7 'D',*E'9J H'D3J'3J.,Neutral
85,40265318,(9/JF 'D51'-) E' #F' J9FJ #F' E(3H7 ,/' EF G0G 'D9D'B) HE3*AJ/ EFG' HA.H1 AJG' H,Happy
86,40265320,"HGE ('DA9D J9FJ, 'D'4J 'DH-J/ 'DEH6H9J 'DJ (/J #BHD DC %J'G J' #-E/ 'DJHE AJ 'DEB'(D) 'DJHE #DJ GH E4 DDFB'4 *(9F' DF81J'* 3J'3J HC0'",Happy
87,40265321,%FG. %FG 3EI HF',J GE #,ED H#2CI H'F:4 HD'/ AJ 'D9'DE.,Happy
88,40265322,"G'G'G' J.DJDC %J'GE J' 1( HJ.DJDC HJ.DJDC GJC 'D7'B) 'D-DH) %DDJ (*-CJ AJG' 9FGE #F' HGJC H#F' B'9/ (3E9C B'9/ (*.JD A9D' J9FJ 51* #AGE #C+1 DDF'3 C'F* *#C/DJ 9DI 9D'B) .'5) ,/' J9FJ EH,H/) H-'61). 3'EJ A*1) J'A' C'F AJG' CE'F %4J GJC D7JA HEEJ2 'DCD C'F (J-CJ %FC CF* E14/ 4'71 AJG'.",Happy
89,40265323,'G 92J2J 7(9' #F' 'D 'D,Happy
90,40265324,'D,2! 'D#C(1 EF -J'*J H#F' H'9J GH %FG #F' *.55* AJG J9FJ ('D/1'3) 'D#C'/JEJ) /13* *'1J. 41B #H37 H9DHE 3J'3J).,Neutral
91,40265325,"H(9/JF AJ 'D/1'3'* 'DE*B/E) *.55* AJ B1'!) *'1J. J'A' (A*1) 'D'F*/'(, J'A' CE1C2 +B'AJ 91(J (A*1) 'D'F*/'(.",Neutral
92,40265326,"HE9 'DHB* 7H1* %J #/H'* H"DJ'* 51* #4*:D E14/ 3J'-J AJ E/JF) J'A', EF .D'DG' #-CJ B6J) 'D 'DB6J) 'DAD37JFJ) HB6J) 'DFC() DDE4'1CJF E9'J AJ 'D,HD).",Happy
93,40265327,"%JG %4*:D* AJG' *B1J(' 20 3F) 'D4:D) G'J 92J2J HG'J A*1) ,EJD) (-J'*J H#F' (-(G' C*J1",Happy
94,40265328,"HD' E1) C'F* 'DEGF) %DDJ (*B/1 *9J4 EFG' D%FG 9EDJ' 'DG/A EF H1'G' C'F ,2! EF 'DF4'7 'D3J'3J HEF 'G*E'EJ #F' CF'47 AD37JFJ.",Happy
95,40265329,"AJ %FJ #4'1C 'DF'3 ('D#3'3 #,'F( #H %31'&JDJJF #H #GDF' H49(F',",Happy
96,40265330,AJ B6J) 'DFC() AJ 3J'B E/JF) J'A' D'FG #F' B1'!*J 92J2J #-E/ %FG J'A' H*D #(J( H'D9D'B) (F'*GE,Neutral
97,40265331,GJ 'DB5) 'DE5:1) DFC() 49(F' 'DAD37JFJ.,Sad
98,40265332,HG'J -'D) *.*DA 9F 'D,DJD #H 'DE+D+ #H 'DFB(.,Neutral
99,40265333,"A' 4HA 92J2J #F' %FHD/* AJ (J&),",Happy
100,40265337,"GDB D' AJ (J'1) HD' AJ 9'&D) (1C'* (3 GH 4'JA %4J +'FJ.",Sad
101,40265338,"#F' #5D' H#F' 5:J1,",Neutral
102,40265339,"E' C'F4 AJ 9F/J *A3J1,",Neutral
103,40265342,GH 9F/G 'D9FH'F G0' %DG '3E +'FJ ('DE1).,Neutral
104,40265344,9F 'DEC'F %DDJ #FHD/ AJG 3J/J,Neutral
105,40265345,H#F' C'F DJ 9D'B) ,J/) 'D51'-) E9 '3J'/J 'D*FJF.,Happy
106,40265346,HCF* #-( /'&E' 'B9/ E9GE H'3E9 EFGE C'FH' J-CH' 9F E/JF) *.*DA *E'E' 92J2J.,Happy
107,40265347,"C'FH' J-CH' 9 J'A',",Neutral
108,40265348,%DDJ %DDJ #F' E' 4A*G' HE' (91AG' HC0' AG0' .D'FJ ,/' #G*E %FJ #AGE 7( CJA 5'1 'DA1B G0' (G'DB/ BDJD HB*,Surprise
109,40265349,(5J1 *:JJ1'* AJ 'D*'1J. 'D%F3'FJ (3 E4 (G0G 'D319).,Surprise
110,40265350,A51* #/13 *'1J. E/JF) J'A' H(9/JF 4HJ 4HJ 51* #-'HD #F*BD 'DE91A) %DDJ 9F/J.,Neutral
111,40265351,HCE'F DD#:D(J) 'DJGH/J) AJ %31'&JD HCE'F DDF'3 %DDJ EF #GDF' H49(F'. 4HA 92J2J %-F'  F-F 9'J4JF AJ /HD) J' #-E/,Neutral
112,40265352,%DDJ *FC1 GHJ*F' 'DAD37JFJ) E4 (3 *FC1G' *9ED (4CD /'&E 9DI E-H GHJ*F' 'DAD37JFJ). 'DAD37JFJJF /'.D /HD) AD37JF F-F' E' (F/13 *'1J.F'.,Sad
113,40265353,"E' EF91AG E' -/', H'D,JD 'DB/JE E+D' G'J 'D*,1() 9'/) C*J1 E1'* (JF-CI ('DFC() #-E/ AJ 4:D'* E' EF*(G 9FG'.",Sad
114,40265354,"'D,JD 'DJ E1B J'DFC(), 'D,JD 'DAD37JFJ %DDJ *90( (4CD C(J1 ,/' HE1B 'DFC(),",Sad
115,40265355,E' E' B(D J4'1CG' E9 'D#,J'D %DDJ (9/G.,Anger
116,40265356,"H HD9/) #3('(. (9/JF 7(9' ('D/1'3'* 'D9DHE 'D',*E'9J) HC0' (*5J1 *91A DJ4, (3 D' E' C'FH4 E3*9/JF J-CH' 'DB5).",Neutral
117,40265357,#F' 3J/J #(H #EJ * B(D J4'1CFJ ,Neutral
118,40265358,(4H 5'1 (J'A' (A*1) 'D48 H'DA*1) %DDJ (9/,Neutral
119,40265359,#.0DJ 3FH'* EF 'D9ED.,Neutral
120,40265360,"G'J *91A E9 'DHB* HE9 'D*,1() HE9 'DE91A) 4:DG %DDJ #.0DF' EFG' C+J1 HB* *B/1F' J9FJ F,E9 'DE9DHE'* D%FG CE'F #14JA E+D' (D/J) J'A' F31B E' (F91A HJF ",Surprise
121,40265361,"'D,JD 'DB/JE E' (/H J4'1CC ('DB5) 'DE/'13 E' (*9DEC 'DB5) G'J.",Neutral
122,40265362,AC'F AJG' ,G/ 4.5J C+J1 C(J1.,Neutral
123,40265363,HDCF ,G/ 4.5J %DDJ CE'F 3'GE AJ 'DH'-/ %FG J*7H1 AJ H9JG 'D',*E'9J H'D3J'3J.,Happy
124,40265365,"'D4.5J %FG GH (/H J1*(7 (G0' 'DEC'F H(/H JB'HE 'D*E'GJ E9 E9 'D*A'5JD 'DC+J1 %DDJ EH,H/) D'31D*G, D/E,G, D5G1 GHJ*G (4CD C'ED .'5) .DJFJ #-CJ E9 H69 3J'3J H H69 *F8JEJ H69 GDB 1- F-CJ AJG #C+1 H69 E$33'* E4 E+'DJ .DJFJ #-CJ HD' 'G HD' EAGHE 6EF' %FG G0G 'DE$33'* #H G0G #H G0G 'D#-2'( #H G0G 'D*F8JE'* 'DEH,H/) ,H' GJ %DDJ (*BHE (19'J) (19'J) 'DF'3 A(491 /'&E' CJA %F* BD* %FG.",Neutral
125,40265366,AJ ,G/ #C+1 AJ ,G/ 9DI E3*HI 4.5J AJ EF'7B 'D48 DD4('( H'D5('J' %DDJ 'D'1*('7 DD'1*('7 (AD37JF DD'1*('7 ('DAD37JFJJF DD*H'5D E9 'D6A) DD*H'5D E9 :2) DD*H'5D E9 'D.'1, H(491 A9DJ' %FG AJ ,G/ J9FJ E4 'D'4J ('F3J'(J) (J*E CJA EECF #F' #CHF EH,H/ AJ 'D6A) (F*BD EF EC'F DEC'F H(3'A1 (1) H(6D AJ 9F/J J9FJ GHJ) (**1'CE 'G E1) (9/ E1) GHF 4HJ GJC (/J (/J #3#DC 9DI 4:DG F-F' HF-F' B'9/JF (F-CJ CE'F 9DI 'DGHJ) H9DI 'DF4'7 'D3J'3J.,Neutral
126,40265367,%F* F4'7C 'D3J'3) (* (* (*AC1 %FG #H CJA (*91AG (D4 B(D B(D 'D,'E9) #H (9/ 'D,'E9) .D'D H,H/C AJ 'D,'E9),Neutral
127,40265368,D' 92J2J #F' J9FJ ('DE-D %DDJ #F' F4#* AJG.,Neutral
128,40265369,"E' C'F AJ #-2'( 3J'3J) E' -/' /H1 ,/J #H E$33'* #H ,E9J'* #H.",Happy
129,40265370,"#H #J 4J! %DDJ EECF 'DH'-/ EF .D'DG JF/E, AJ 9ED ,E'9J HAJ *F8JE 3J'3J H',*E'9J 9 #F' F4#* AJ #-J'! J9FJ ABJ1) ,/' H*9('F) ,/'.",Happy
130,40265371,E' C'F AJ -6H1 ,/J.,Neutral
131,40265372,D-1C'* 3J'3J) #H #-2'( AJ 'DEF7B) %DDJ #F' '*1(J* AJG' AJ 'DD/ H'D1ED) HJ'A' %D' 9DI 'DG'E4.,Neutral
132,40265373,#H (A*1'* 'F*.'('* #H C0' J9FJ E' C'F* BHJ) G0G 'DE$33).,Neutral
133,40265375,(9/JF AJ 'DF4'7 DE' /.D* 9DI ,'E9) *D #(J(.,Happy
134,40265377,5 5'1 E9'J 9/) 4:D'* %DDJ C4A*FJ 9DI G0' 'D9'DE.,Surprise
135,40265378,H'D51'-) #F' /.D* DG ('DE1-D) 'D#HDI EF %JG EF 'G*E'E 9DEJ J9FJ E4 %JG.,Neutral
136,40265379,E' C'F AJ %7'1 %DDJ #F' EF.17 AJG HDCF.,Happy
137,40265380,4HA 92J2J #F' AJ AJ E9'J *-/J.,Happy
138,40265381,%DDJ AJ 71JB) CE'F.,Neutral
139,40265382,J9FJ A*- DJ "A'B #.1I (-J'*J.,Happy
140,40265383,#F' AJ 9F/J E4CD) F81 ,/J) 92J2J #-E/.,Fear
141,40265385,"%J H#F' H#F' (,JD 5:J1 E' C'F* 59() C+J1 HDCF DE' #F' H5D* 9DI E1-D) 'D+'FHJ) 5'1* C+J1 59()",Sad
142,40265386,J9FJ #F' E+D' (5A 9'41 %-/94 (7D* #4HA 9F 'DDH-.,Sad
143,40265387,(3 D#FG CF* E2(7 ('D*9DJE 6(7* E9'J 'FG %FG #E1B 'D'E*-'F'* HGJC.,Happy
144,40265388,HG'J J9FJ -//*DJ 'D4:D'* %DDJ (B/1 #9EDG' H%DDJ E' (B/1 #9EDG'.,Happy
145,40265389,%JG ( ('D,'E9) E+D' #F' E' CF* 2JJ 2J #:D( 'D7D'( 'D91( (3(( H69 'B*5'/J 59( C'FH' #:D( 'D7D'( E,(H1JF J4*:DH' E9 'D*9DJE.,Sad
146,40265390,#F' E' C'F 9F/J 'DA15) G'J DJG D%FG 9EDJ' E4CD) 'DF81,Anger
147,40265392,A9EDJ' #F' %J -7J* CD 7'B'*J AJ 'D*9DJE (3 #F' CF* CF* -'(( 'DEH6H9 %DDJ #F' (/13G.,Happy
148,40265393,"A'D,'E9) FBHD (*97JF' EB'D E9JF D'2E FB1#G DD/13 'D,'J #F' CF* #1H- 9DI 'DEC*().",Neutral
149,40265394,GDB (*91A ('DEC*() FBHD 'DC*( E1*(JF -3( 'DEH6H9 CF* #F2D CD 1A 'DC*(.,Happy
150,40265395,#E1B 9DJG #4HA 'DCHF*F*3 *(9* 'DC*( #4HA C0' H51* #B1# (FA3 'DA*1) G'J.,Happy
151,40265396,CJA 'DJHE *91A 'DF'3 (*-( 'D3J3D(1J*J2 *(9HF 'DAF #H 'DJH*JH(12 HD' E4 9'1A 4H %-F' C'F 9F' E+BA (G0' 'D-,E,Neutral
152,40265397,DDAD37JFJJF AJ 'D/'.D C'F AJ 4.5J).,Sad
153,40265398,":1J() EF F'-J) 'DB/1'* E' 4A* %4J (4(G '3EG 'D/C*H1 92EJ (4'1)",Surprise
154,40265400,"C'F* DE' ,'E9) *D #(J( #-E/,",Neutral
155,40265402,,'E9) *D '(J( DE' (/G' *F,- E$*E1 #J' C'F,Happy
156,40265403,AJ E,'D 'DAD3A) #H 9DE 'D',*E'9 #H 'D9DHE 'D3J'3J) #H 'D*'1J..,Neutral
157,40265404,C'F* *,J( 'DE+BA 'DAD37JFJ %DDJ '3EG 'D/C*H1 92EJ (4'1).,Neutral
158,40265405,"HAJ -JFG 'D/C*H1 92EJ C'F ('/J AJ E41H9 3J'3J DD#BDJ) 'DAD37JFJ) AJ 'D/'.D #F' CF* #1H- #3*E*9.",Happy
159,40265406,#3E9 'D/C*H1 92EJ AJ 'DE$*E1'* G'J.,Happy
160,40265407,CJA (JF'B4 HCJA (BF9,Happy
161,40265408,H('DA9D E4 %FG C'F E4 C'F J.31 ('DFB'4'* C'F JC3-,Happy
162,40265409,"A#F' CF* #491 ('D92) H'DA.1 HC0' CF* 'F(37 C+J1 51* #B1# %DDJ (JC*(H' 'D/C*H1 92EJ.",Happy
163,40265410,H51* 4'JA %FG AJ -1C) 7D'(J) AJ ,'E9) *D #(J( EH,H/) EF B(D 'D-2( %DDJ #B'EG 'D/C*H1 92EJ %3EG' -1C) ,A1).,Happy
164,40265411,A#F' *91A* 9DI 1A'B AJ -1C) ,A1).,Neutral
165,40265412,H51* #F47 E9GE AJ 'D9ED 'D7D'(J.,Happy
166,40265413,"(G/JC 'DE1'-D %F* (*CHF AJ (/'J'*C J9FJ %F* E4 E/1C DCD 'D#EH1,",Fear
167,40265414,HDCF 4HJ 4HJ (**B/E A#F' CF* #B1# C*J1 H#3E9 'D/C*H1 92EJ H#*'(9G H'F,Happy
168,40265415,(/J* 9EDJ AJ AJ -1C) ,A1) (,'E9) *D #(J( HE('41) F47* ',*E'9J' H3J'3J' CE'F AJ E/JF) J'A'. J9FJ EF #HD E' (/#* ('D,A1) ('D3F) 'D#HDI ('D,'E9) 3F) 'D96 (*.JD,Neutral
169,40265416,#J (/#* E('41) (9/G' (3F) (J'A' C C'F E+D' 'D*F8JE (,'E9) *D #(J( '3EG D,F) 'D7D'( 'D91( HAJ -1C'* /'.D D,F) 'D7D'( 'D91( CF' 9'EDJF %4J E3*BD D%DF'.,Happy
170,40265417,A' ',J* 9ED* D,F) 'D7D'( 'D91( AJ J'A' ,E9* 'D#C'/JEJJF AJ J'A' E9 9/) #5/B'! HJ9FJ F'3 92J2JF 9DJ H9EDF' D,F) 'D#C'/JEJJF 'D91( AJ J'A'.,Happy
171,40265418,"HEF .D'DG' 51* #F41 CE'F AJ E/JF) J'A' HCD E1) 51F' F*B/E .7H) .7H).",Happy
172,40265419,(3 G0' EF EF*5A 'D*39JF'*,Neutral
173,40265421,E4 #BD EF *#+J1 (,JDF' '-F',Fear
174,40265422,#H DA*FJ CE'F CJA B6J) 'DDJ #F* 'D 4J,Happy
175,40265423,"9DI E3*HI 'D9'DE 'D91(J J' #.J #-E/,",Neutral
176,40265425,"E' AJ 9F/C G'DB/ E+BAJF E4 F,HE AF H E4 EH3JBI, E+BAJF.",Neutral
177,40265426,"%DDJ %0' (9DF 9 E-'61),",Neutral
178,40265427,(*9(J 'DB'9) HJF E' C'F.,Neutral
179,40265430,"92EJ AJ 'D*39JF'* C'FH' J9DFH' 9DI 'DE-'61) (:2) *4HA E&'* 'DF'3",Happy
180,40265431,B'&/ AD37JF EF 'D/'.D (1H- E-'61).,Neutral
181,40265433,"('D6A), AJ AJ 'D/'.D 7(9' (E1'-D G' ('DE1'-D 'D#HDI E' C'F* G'J 'D#9/'/ 'DC(J1) 4HJ 4HJ J9FJ (.D'D #C+1 EF 3F) (.D'D 3F*JF *D'*).",Neutral
