ÿColumn1,id,text,sentiment
24,40265231,"G'G'G'. 'D4('( 9F/C A9DJ' (JFBDH', J9FJ 'D4'J H'DF9F9 HJF E' *1H- GDB",Positive
25,47553112,"H.D*F' F*'(/ J9FJ %FG 'D'1*('7 E9 HDJ/ EGH /'&E' (-CJDJ HDJ/ %FG E-CHE) %F* E*DJ E$(/ A ",Positive
26,47553099,"G'G'G' 7(9' 'DCH1HF' (*5J1 'DH'-/ "G E4(HG (G'J 'D-'D) %DDJ (JCHF AJG', AD' (D*2E 'D(J* H.D5 9(JF E' J1HB 'DH'-/",Neutral
27,47553097,(D4 GJC *#ED* %FG J.*AJ (3 E.*A'4 D' E51 J6D E9'J.,Negative
28,47553109,"#31I %JG 'DH'D/ #.HJ 1-EG 'DDG C'F #3J1 CE'F (3FH'* 'D3(9JF'* %JG",Positive
29,47553122,'97HG 3F) AC'F GJC CD 'CE 3F) JF3,F CE 3F) A(3 E' E' B6I -CE 7HJD H %JG (3 EF .D'DG 91AF' 9E1 'DB'3E HJ9FJ #F' EF .D'D #(HJ 91A* 9E1 'DB'3E H#(H 9DJ 4'GJF HCD G'J 'DB'E'* 'D 'DJHE 'G A9D' J9FJ.,Positive
30,47553111,"E3J1) 49(F' /BF' (96 EFG' #H 94F' (96 EFG' %JG HD1(E' 7(9' 3'GE %D'4J 'FG 4.5J*F' 'F5BD* (%*,'G E9JF.",Positive
31,47553110,%JG J9FJ G0' 'D,H G'J 'D,Negative
32,47553108,"%JG (3 CE'F AJ 9F/J 'D,'F( 'D*'FJ %FG #EJ 9'4* (1'E 'DDG H1(J* (1'E 'DDG H(*0C1 H%-F' 5:'1 CF' ('DF3() %DF' 1'E 'DDG J9FJ -'1'*G' H#2B*G' H'D-H'CJ1 H'DG'J ('DF3() %DF' 7AHD) 0C1J'* 7AHD) 1'&9) A%JG  1(JF' D-3F -8F' E9 'D4BJF 48 H67 HG0' #97'F' "G :FI C(J1 J9FJ H91AF' #5/B'! 4G/'! ('D'F*A'6) 'D#HDI H91AF'",Positive
33,47553107,"%JG ('DFC() 'D9JD) *4* ,2! EF 'D9JD) 3CF (1'E 'DDG H,2! EF 'D9JD) ('DD/ (E/JF) 'DD/ FA3G' H#F' /'&E' A.H1) %FG #F' (-CJ #F' EF (D/ 'D-CJE.",Positive
34,47553106,"%JG #F' 3F'! #F' EF AD37JFJJ 'D48 (D/F' '3EG' 'DF9'FJ HGJ B6'! 'DD/ 'DJHE 7(9' %3EG' CJ(H*3 F'9F",Neutral
35,47553105,(/F' F-7G E1) H-/) ('D.DAJ) HDJ/ 'G 4H G'G'G',Negative
36,47553104,"G 7(9' 3F'! #HD 4J! 3$'D %JG GJC .DJF' F(D4 EJF 3F'! ('D9'/) 'DCD (J-CJ 3F'! 2H,) 'D#3J1 HDJ/ /B) (/F' J9FJ F#.1 'D3J/ 'D92J2 'D(7D %J HDJ/ /BG 9DI ,F( 4HJ ,'JJF DC HF(D4 (3F'! EJF 3F'!,Positive
37,47553103,('D8(7 'DF'3 ('D/H1 (3*FH',Positive
38,47553102,#F' .D5 EE*'2 #F' (8F CE'F GD# JECF D'2E *A*- 'D(D'/ 94'F *D-BH' J9FJ #G'DJ 'D48 JD-BH' J3'A1H' B(D %JJG %37F(HD %JJG B(D E' *F*GJ 'D*D'* 4GH1 H'D3* 4GH1 B(D B(D E' *F*GJ 5D'-J) 'D79E.,Positive
39,47553101,7(9' *79E* #F' (9/ 'D*79JE 'D+'FJ (A*1) 7HJD) J9FJ %FG 'DEA1H6 %FG *CHF 'D#EH1 *E'E.,Positive
40,47553100,H#F* '79E*J HD' D#,Neutral
41,47553098,3HJ*J A-5 (J 3J '1,Neutral
42,47553094,"#HD 4J! #DA 3D'E) 9DJCP H4C1' %FC %F* ,'J H H*'FJ JHE E16 G'/ HD' #HD JHE",Positive
43,47553093,*-J'*J #-E/ #GD' AJC.,Positive
44,47553091,EAC1JF %FG (9/ E' F1*(7 ( 25 3F) E4 1- FCHF D3' 'D*BJF'.,Positive
45,47553113,"7( (/J #3#DC B(D B(D CE'F EFJ,J 9DI HDJ/ GD# (F1,9 4HJ D3F'! 'D DE' B'(D* 3'EJ #(H 4-'/) (BDJ %FG 'JG %JG ('DD/ C'F EEFH9 J9FJ -*I AJ 92 AJ 92 J9FJ /'&E' AJ 92 #H #H E9 CD 'D*:J1'* %DDJ EH,H/) AJ 'DJ/ ('D2EF'* C'F /'&E' EEFH9 *F3( BJ'/'* EF8E) 'D*-1J1 H'DBJ'/'* 'DH7FJ) H*-/J/' ,H1, -(4.",Neutral
46,47553114,"J9FJ %J GD# %J J9FJ 'D2DE) G'/ CE'F J9FJ ,H1, -(4 C'F -'61 A9DJ' ('DJHEJ'* HD' AJ (96 'D(JH* HD' 'DF'3 C'F* E9*2) %FG ,H1, -(4 EF 'DD/",Neutral
47,47553115,"G E4 (3 '9*2'2 CE'F *1(JF' 9DI %4J '3EG ,H1, -(4 H9DI %4J '3EG J9FJ %-F' EF 'DF'3 %DDJ *1(JF' %FG 'D-2( 'D4JH9J 'D%31'&JDJ .HF E+D' J9FJ A' %J C'F AJ FH9 (*0C1 (J'F'* #(F'! 'D(D/ H'DE3J1'* ('D4H'19 D#(F'! 'D(D/ CF' 5- 9'J4JF (E/JF) E.*D7) (3 C'F AJ 9F/F' ,J1'F J9FJ JGH/ HGJC (3 C'F ('DF3() %DF' 'D 'DB6J) G'J ,/' H'6-) J9FJ %JG,Positive
48,47553130,"GJ J9FJ %F* A9DJ' GJ 'DEB/E) %DDJ 9EDF'G' HGJC 'D 'D,H'( %DDJ -CJ*JDJ %J'G *B1J(' G0' #:F'FJ 9DI C+J1 #4J'! C'F AJG *3'$D'* /'&E' EH,H/) 'F %FG EJF 3F'! 3F'! E3J3) E4 E3J3) E9(I E4 E9(I EF8E) E4 EF8E) GJ E,1/ 2H,) 'D#3J1.",Positive
49,47553124,J9FJ %F* A9DJ' EF 'D 'JG #HD #3J1 (-J'*C C'F 'DH'D/ E4 HDJ/,Neutral
50,47553121,%JG H".1 E/) 'F-(3 3F),Neutral
51,47553126,"H B/JG C'F 9E1C DE' (D4 DE' J9FJ #HD -(3J H9J*J DG'",Neutral
52,47553127,"('D3(9JF'* CF* 7AD), C'F 9E1J 3* 3FH'* 3(9 3FH'* H(*0C1 (2J'1) D%DJ 9F/ HDJ/ (*0C1 #(HJ C'F #C+1 %4J (3,F 47) 'D#-C'E *(9*G JB6JG' (3,F 47) H(*0C1 #F' E1) 21* HDJ/ (47) H(*91A G0' 'D49H1 %DJ E1'* (J,J DDH'-/ #FC %F* CF* (G0' 'DEC'F B(D #H G0' 'DEHBA %F* E1B*G EF B(D E' #F' -3J*G H#F' B'9/ B('D 'DHDJ/ (4CD H'6- ,/' J9FJ %FG #F' CF* C#FG GJC 'D0C1I GJC",Negative
53,47553120,GEJ C'FH' J'./H J7D9H' HJ'./H' C'F #7HD E/) E3,D #1(9 3FH'* '*GE %FG C'F (/H J9ED 9EDJ) *A,J1 E7'1 'DD/.,Neutral
54,47553129,AC'F 'D'4J J9FJ C+J1 :1J(.,Negative
55,47553119,3F'! 'DH'D/ B/J4 F-(3 #H #J A*1'* B/JG C'F 9E1C CE'F,Neutral
56,47553140,%FG #G'DJ 'DD/ #5D' 9F/GE E4CD) E9 'D417) %J E4CD) 4.5J) J9FJ :J1 B6J) %FG AJ E4CD) 9DI E3*HI '-*D'D HC0' HBE9 H HAJ E4CD) ('DJHE JHE J9FJ AJ 9D'B) E*H*1) #5D' %JG  EF 'DF4#) %4J (J4(G JECF CJA .5H5J) 'DB/3 AJ .5H5J) E.*DA) ('DD/ E2(H7,Negative
57,47553118,ACE'F EFD/ 0C1J'* ,EJD) ,/' (G0' 'D,'F( H4 %EE J9FJ 'DFH9 EF H,/'F E9JF %F* (*B/14 *-11 EFG .D5 #F*E GJC 'F.DB* (/EC CJA (JBHDH',Positive
58,47553134,"7J( 3F'! %F* #HD #HD F4'7 3J'3J %JJG #H #HD CJA (*BHDJ #H %0' (F1,9 F*0C1 #HD E1) -3J*P #H B11*P #H CF*P (F4'7 3J'3J CE'F C'F #J 3F)",Neutral
59,47553135,"C'F 9E1J 941 3FJF HC'F* E8'G1) D#(F'! 'D(D/ ('DD/ H4'1CF' AJG' HC'F 'DH'D/ JHEJ*' .'JA 9DJF' (-CJDF' D' E*7D9H4 HGJC H#.*J 'D#C(1 EFJ ,'H(*G #F* 1(J*F' 9DI C0' HC0' HC0' ACJA J9FJ (*-CJDF' D' (*7D9H4 A-CI JD' 7J( (',J E9CE #F' CE'F A' GJC",Negative
60,47553136,'G EF 941 3FJF ,Neutral
61,47553137,""G EF 941 3FJF H#C+1 %4J (*0C1G DE' CF' F1H- F3*F' JHE 'D#16 HF1H- 9DI JHE 'D#16 H(*0C1 CJA C'F* 'D417) (*9*16 'D('5 H*.DJF' 'D3'9'* HJ.D5 JHE 'D#16 H%-F' D3G (F3*FI ('D('5 ('D4'19 H*1H-F' 'D417) (#.1 'DJHE CD 3F) C'FH' J9EDH' AJF' FA3 'D4J! HECF'4 FAGE DJ4 E4 9E (J-'HDH' J6-CH' 9DI 'D417) J9FJ GD #C(1 EF' GD 'DEF8EJF DDE3J1) HDDG'J D%FG CF' (F-( F4'1C H(/F' F4'1C GJ 'D0C1I C*J1 C*J1 (1'3J %FG DJ4 E91AF'4 HD' E1)",Negative
62,47553138,'D417) HF4'1C (JHE 'D#16 J9FJ GJ E1) H-/) 4'1CF' AJG' (*GJ#DJ.,Negative
63,47553090,(3 HDJ/ C'F %DG H,H/ H-6H1 %DDJ E' (91A %FG DE' (*-( (FJ "/E %JJG H(*B11 *1*(7 AJH E/I -(C %DG H9D'B) H%1'/*C H9D'B*C AJG GJ 'DDJ 9EDJ' J9FJ (*B11 (*.DJC *'./ 'DB1'1 H*-CJ %FG 4H DH 4H E' J5J1 DH 4H E' JCHF G0' 'D%F3'F %DDJ #F' (/J '1*(7 AJG H(9*B/ AJ CE'F E3#D) 'D#ED 'DC(J1 'DDJ (JCHF EH,H/ H#F' HHDJ/ ECF'4 E2(H7,Positive
64,47553123," (F9*2 AJG', HC'F* ('D3(9JF'* EF B'E'* 'D-1C) 'D#3J1) %DDJ 'DJHE 7(9' (*.*DA 'DH'B9 'D-1C) 'D#3J1) 9F 'D3(9JF'* H'D*E'FJF'* DCF CD G'J 'D#3E'! (F91AG' (4CD E('41 HB55G' HG'J EF EF 'DH'D/.",Positive
65,47553116,1(JF' 9DI #:'FJ 'D4J. %E'E H9DI #:'FJ ,H1, B1E2 H CD G0' 'D4J! C'F -'61 HEH,H/ (-J'*F' 7(9' (A6D 'DH'D/ CE'F %JG AG0' 'D,'F( C'F C*J1 C*J1 C*J1 BHJ (-J'*F' J9FJ E4 (3 'JG 'JG EF ,H1, -(4 HCD E' (JE+DH' ,H1, -(4 H%FE' CD 'E*/'/G AJ 'D/'.D 9F' AJ 'D48 HC'F 'DG -6H1 1'&9 ('DDJD EF .D'D 4('( H5('J' 'DJHE 5'1H' "('! H5'1H' #,/'/,Positive
66,40276832,HAJ F'3 'D-E/ DDG 8'(7 E9GE J9FJ 'D'4J %DDJ (J.77HDH' 2(7 E9GE.,Positive
67,40276430,%FG %F* *3( DJ (*-CJ C0' 7( (FA9 *3*./E EJ*'AH1 +'FJ #H GJC %0' C'F #F' ('DF3() D%DJ *E'E (3 CF* (AC1 %FG HB*G' C'F AJ -'D) EF 'D*15/ D%FG'! 4J %JG %J (*9DB (F,'- *'E1 (4CD #3'3J (#FG B'9/ (-CJ E9 41J-) ,JD,Negative
68,40276673,H51* #4HA J9FJ #J4 AJ #4J'! **5H1 HGJC CGH'J) H#F' 1'J- 9DI 'D,'E9) DBJ* E1) A1JB E5H1J AD37JF 'D9'EDJF J9FJ E,EH9) EF 'DE5H1JF 9'EDJF -',) DE' A1JB E5H1JF AD37JF H9'EDJF E916 5H1 'D7(J9) H,EJD) D:2).,Positive
69,47553238,H'9*BDH HDJ/ H H H 3F'! 6D* *3*F'G E4 %FG 3F'! HHDJ/ #.0H' B1'1 A9DJ' E4*1C (J (D,Neutral
70,47554259,G0G -7* %3EJ *B1J1 5GJ( 'D95' 9DI 4'4) 'D,2J1) D#HD E1).,Positive
71,62062286,"7(9' C'F E' GH H'5D 'DFB( D3' CD %4J G0' F-F' (9/G' 51F' HJF J' ,E'9) AJ -2( 4JH9J AJ GHF AJ GHF HDEDEF' EF 'D,'E9) H51F' CD 3F)",Positive
72,40278058,DCF 'D 'DED'E AJG E4 %-F' 'D81HA 'D %DDJ %DDJ (J9J4G' 'DB7'9.,Neutral
73,50510030,"DJ4 #F' J9FJ 4H 9'ED) D' #F' /-D'F HD' -E'3  HD' 9EJD)  HD' (9* 'DH7F HD' (D' 41A HD' %4J *9'DH' #F' (/J #F2D (/J 'F2D #4HA HC'F GHF 'D*-/J 'DC(J1.",Negative
74,47553680,7( HA'*F CE'F CE'F 3$'D 'D5('J' 'DDJ 'F6EH' H'4*:DH' AJ AJ G0' 'DE,'D. %JJG -,EGE C(J1 (FB/1 F9*(1GE %FG J9FJ CE'F FH9J) 'D5('J',Neutral
75,47554170,J9FJ E' C'F AJ 7D9) 9DI A15) 9ED %FG #F' 7'D9 #*H8A AJ 'D,2J1).,Neutral
76,40277996,H H HDD#3A *E 61( H'3*G/'A 'DE1C2 'DH-J/ D#,1'! A-H5'* CEHF AJ B7'9 :2) AJ 'D4'19 'DH-/),Negative
77,62071086,DJG 'D#7('! #FA3GE (-CH' %FG GHF AJ E3*4AI #A6D HDJ 9DI E/'1 G0G 'D3FJF CDG' J9FJ %J 51F' EF*5A 'D+D'+JF'* HF-F F3E9 FA3 'D,ED %FG D' AJ %31'&JD E3*4AJ'* #A6D 'D3D7) 9F' (**7H1 9DI E/'1 'D3FJF G0G CDG' (J,JF' /9E .'1,J EF CD EC'F %JG 9DI 'D6A) H9DI :2) (3 D3'*F' (:2) (F-CJ (/.HD #,G2) 'D#49) #H /.HD 'D,G'2 'DAD'FJ #H EEFH9 'D,G'2 'DAD'FJ J/.D 'DB7'9 'D5-J 9F' '-F' JECF J9FJ AJ 1'F, 1HA1,Negative
78,40275622,%0' (*4HAG 9DI GDB GH E4G/ 'D(7J.) C'F GH E4G/ 6EF %JG :2) 1'E 'DDG.,Neutral
79,67294434,*AH* *4HA  4H J9FJ G1*3#,Neutral
80,40277515,D' (BHD '( (J3'F "G (3 GJ 7D9* GJC.,Neutral
81,47553236,"-'D*C %F* H-'D*CE GJ 'C J9FJ #C+1 EEJ2) D%FG AJ -'D) '1*('7 /'.D 'D3,F H(8F G'J J9FJ E4 E4 'D%4J 'DJ 'DF'3 (*91AG E4 'D%4J 'DEAGHE 6EF', (*91AJ G'J G'J 3F'! ,2! EF :'J) 'DEB'(D) %FG *9'DH 'FC31 CD 'D5H1 %DDJ (FB1'G' 9DI 'D#.('1 94'F F91A G0G 'DE9DHE'* #C+1 J9FJ. D%FG 5/B' GJC 'DH'-/ (JCHF 9E (J7D9 E+D J9FJ %FG #HCJ 3F'! HHDJ/ C'FH' (J91AH' (96",Positive
82,40277542,J9FJ #F' *D'* /B'JB 9F ('( 'D3'G1) H941 /B'JB 9F 'D4J. ,1'- *A5DF' 9F 'D4J. ,1'- 13 /BJB) H*D'*) ('D9C3 9DI 'DE3,/ 'D#B5I.,Neutral
83,62068425,"('D3J'B GHF #F' 9F 'DFB7) *(9*J %DDJ 9E (-'HD #1C2 9DJG' (3J'B 'D-A'8 9DI 'D*1'+ 'DAD37JFJ. %JJG .DJFJ #-CJ E4 E*#C/ B/J4 AJ ,'F( EFG '3*:D'DJ B/J4 AJ E('D:) B/J4 AJ HGHF E4 FB'4 E,1/ *3DJ9 9'/J (J5J1 AJ *3DJ9 (3 5'1 AJG E('D:) H9F ,/ -BJBJ) J9FJ E+D' #-CJDC '3E-JDJ (4:D) CE'F #F' E4 9E (-CJ 9DI E+D' 'D*,'1 %DDJ #.0H' 'DCHAJ) 'DAD37JFJ) H9EDHG' ('D5JF H(J(J9HG' AJ 'D(D/.",Negative
84,40277933,"7J( 31J9 #F' (-( #91A -'DJ J9FJ (G2'/ 'D#.5 7(J( EF :2) H-5D* /1,) 'DE',3*J1 AJ *4'JD/ EF*DGJD+ EF CJF:3 CHDJ, DF/F.",Positive
85,62064816,"A('D*'DJ %DDJ -5D %FG AJ AJ "1'! D' *2'D EH,H/) %DI 'DJHE DCFG' J9FJ DH *-3(G' *DB'G' 56 "1'! H"1'! J9FJ .DJF' FBHD %FG' E/AH9) 'D+EF -'DJ' 3'(B' C'F* "1'! EF (:16 'D*4AJ HC0'.",Negative
86,62064840,"D' D' #F' #BHD DC %FG (4CD 13EJ %FG 'D,E9J'* 'D.J1J) 'DCHJ*J) E4 ,E9J) .J1J).",Positive
87,62062922,H(*A1EDJ .J'1G H-() (F/H1).,Positive
88,67292653,9DI .D5. .DJG' GJC.,Neutral
89,47555381,C'F* CD E1) #C(1 AJG',Negative
90,62061239,"HB* 'D#2E'* HJECF -*I E9 'D3H4J'D EJ/J' E$.1' J9FJ 5'1 AJ J9FJ 5'1 CD H'-/ (J9*2 (EF7B*G (3 -'77 -'DG 6EF AD37JF CDG' J9FJ #CJ/ %FG (7D H(7D AC1) %FG J9FJ #F' %(F :2) (3 #H '(F 'DFB( (3 #(F 7HDC1E (3 #H GJC",Positive
91,48051783,"E9 #GDF' AJ 'DFB( 7(9' 'D#GD AJ 'DFB'() 'DJHE +D'+EJ) H941JF #DA.",Neutral
92,62064220,AJ 'D9J/. %E*I #HD E1),Neutral
93,40275183,J9FJ AJ AJ AJ HB* E(C1 H(96 'DF'3 %DDJ GJ J9FJ #5/B'&F' %DDJ 4'AH' J9FJ 6-CH' 9DJF' J9FJ %FG %F* J9FJ E4 DG'D/1,) J9FJ D' *AC1 E'.0 'D#EH1 J9FJ 3J1JJ3 2J'/) 9F 'DD2HE A,Negative
94,47554886,"(4CD C+J1 3J! DD#3A J9FJ %JG F-F' JECF 9'FJF' EF G0G 'D#4J'! 9DI E/'1 'DA*1'* EFG' #5D' %F* (D4* -/J+C (AC1) %FG J9FJ 'DF'3 (*3#DC CJA *3#DC 9F AD37JF HCJA %F* (*5-J DG' EA'GJE A' F-F (F91A C+J1 EFJ- 4H B/JG B/JG EF9'FJ EF 'D5H1 'DFE7J) HB/JG A*1) 'D*9DJE #F' %DDJ (E51 (F3'4 J9FJ 2008 DE' CF' GJC (F-'HD F9ED 4J! D:2).",Negative
95,40275251,-*I DE' *F,- (*F,- DCF (*9BJ/'* C+J1 H(*.1, E4'CD C+J1 A5'1 AJ '3*1'*J,J) 9F/ E1C2 'D9H/) %FG #F' (1H- 9DI E$33) 5/JB).,Negative
96,47552988,AJ GJC AJ 9F/J 49H1JF J9FJ E*F'B6JF AJ (6-C #-J'F' 9DI 'DE-*D 4H 9F 4H CJA (J9ED E9 'E1#) H(FA3 'DHB* (3*:1( EF BH*J #H 4H %DDJ #97'FJ G0G 'DBH) AJ G/'C 'DHB* %FJ #9ED GJC.,Negative
97,40276442,'JG H(#:'FJG H( #:'FJG (JCHF (JCHF (JCHF E9FJ %FG J3( #H E9FJ J3*./E %-J'!'* 'D,F3J) (EC'F D' 'D 'DFB'4 A9DJ' -*I HB* 'D*15/ H1- *D'BJ %FG AJ *D'* #H #1(9 #:'FJ (4CD #3'3J EH,H/JF GE 'DDJ (/H1 9DJGE 'D-1( /'&E' H'DDJ AJGE J9FJ %FG %JG %JG /'&E' 'DFB'4 9DI 9DI *A'5JD GJC %DDJ GJ FB'4'* %,*E'9J) H#.D'BJ) H/'&E' C'F (J*E 'D 'D 'JG D3G GJC (3 94'F #.*51 %DDJ (/J #BHDG C'F AJ 'D #8F A #E 'DA-E C'F AJ (16G -1( 9DI,Positive
98,50510339,('DF3() D%DJ D%FG %JJG E-E/ EF 'D 48,Positive
99,62066232,"H*1C* HE' AGE* %FG GF 29DH' G' 'DB/ (3(( 4H #F' 9E BHD HD' HD' %FG 4HAJ 5'JH J9FJ 'DE4G/ C'F 9F ,/ EH 1(C J9FJ J9FJ C'F AJ E+D' 40 50 'D1,D ('D.JE) H9E J(CH' (5H* E1*A9 H H#F' 5'1* E'FJ E*#C/) %0' GF 9E J3E9HFJ 4H 9E BHD HD' 5H* 'D(C'! 9DI HD' A#F' DD-8) HBA* H'7D9* GJC A%FG DBJ* #(J GJC %FG E/E9 HGJC (9/JF 7D9 AJFJ HJ9ED DJ GJC %FG CEDJ.",Negative
100,62071662,"%JJG AJ GHFJC 4HJ) E*:J1'* 'D'-*D'D -'HD JD9( 9DI C+J1 E4 (3 9DI ,HD'F 9DI 9/) #E'CF (AD37JF ('D4E'D H'DB/3 FA3 'D4J! J9FJ %FG.",Negative
101,62071775,"A9D' G0' %DDJ 5'1 #F' (9/ E' 1,9* EF /E4B #F' *D'* 3FJF %DDJ (9/JG' %DDJ C'F HJECF E4 (3 #F' C+'1 EF 'D#4.'5 %DDJ 1,9H' EF GF'C.",Negative
102,40276742,"E(G/D DCF GH -DH ,EJD J9FJ (F-'HD F.'7( %FG %F* *4HA 'D5H1) *-3 3J'3) *F(37 J' *-2F HC+J1 E5H1JF HC+J1 5H1 J9FJ 'D-E/ DDG C'F* 3(( AJ %FG' *,J( 9'&/ E'DJ DD#4.'5 %DDJ ('D5H1) .5H5' DH C'F* 'D5H1) F3EJG' D9'&D) E-*',) #H :J1G",Positive
103,62067938,DJG (D/F' DJG '3E (D/F' #HD %4J,Neutral
104,48052072,"'DE$33) 'D%31'&JDJ) 'DJHE #.HJ J9FJ #F' 9'J4 GEHE 'DFB( #F' 9'J4 GEHE 'DFB( EF 5D') 'DA,1 -*I 5D') 'D94'!.",Negative
105,62066085,(G0' 'D(F'! %DDJ %3EG GHJ*J %JG HG0' J9FJ E' HBA GHF (9/JF J9FJ BD*DC JECF CE'F #F' "G DE' (D4* %H9I 4HJ #F' H9J* %FG E+D'K #F' #(J ('D ,Positive
106,48051827,A0G( %DI :2) H#1'/ #F J*2H, AB'D 'D,/ %FJ #1J/ #F %0' (**2H, #FC *3CF AJ :2),Neutral
107,62064029,#F'. #F' AJ -J'*J AJ -J'*J,Neutral
108,40276367,H(B9/ EECF *D'* 4 3'9'* 9DJG' #-DD 'DCDE'* #-61 AJ/JHG'* 1J'C4F2 EJF 9EDJ 'DEH3JBI HDC G'/ 'DEH3JBI %4J ,/J/ #HD E1) (3E9 EJF (1H/JH31 (1H- (3,Positive
109,62057648,"D' JECF 'D3J71) 9DJG E9*E/JF 9DI 3HB 'D9ED 'D%31'&JDJ AJ AG0' #HD /JF'EJCJ) *-CE 3HB 'D9ED 'D%31'&JDJ 'DAD37JFJ %FG D' :J1 B'/1 9DI *HAJ1 A15 9ED C'AJ) DD/'.DJF 'D,// D3HB 'D9ED H('D*-/J/ .1J,JF 'D,'E9'*. 'D9E'D CDGE (JF2DH' 9DI %31'&JD "3A E1) +'FJ) CDGE (F2DH' 9DI 'D/'.D (3 AJ (7'D) E1*A9) AJ 5AHA 'DF3'! HAJ 5AHA 'D4('( EF 'D.1J,JF.",Negative
110,62059688,#F' #F' E'4J E'4J (3EHG 'DB5()  HJ9FJ AJ EF7B) ((J9H' AJG' #H'9J H4:D'* H#F' E'4J E9 J9FJ #.HG E1*J.,Positive
111,40275345,"7J( J' ,E'9) 4C1' 4C1' DDE*'(9) HF-F' J9FJ 7HDF' (3 J9FJ C'F AJ E-7) E9 7'1B H('DF5 %,'FJ 49H1 %FG #F' EECF #BHD D7'1B (/F' FA*- ,2! +'FJ (3 E' (/F' 1'- F1A9 'D-DB) CE' GJ EF :J1 *B7J9 HD' 4J! %JG %JG (F*EFI **A'9DH' H*4'1CH' 'D-DB) G0G H*A'9DH' E9G' H*.(1H #5-'(CE H #5-'( #5-'(CE H*-CH' DDAD37JFJJF AJ 3H1J' %FG 7'1B -EH/ -CI C+J1 %4J 9FGE H'DAD37JFJ) AJ #H1H(' %FG 7'1B -EH/ FB/ J9FJ -'D'* C+J1) H*A'5JD C+J1) EH,H/) 9F/GE.",Positive
